Order Date,Year,Month,Customer Name,State,Category,Sub-Category,Product Name,Sales,Quantity,Profit
03-01-2014,2014,1,Darren Powers,Texas,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16,2,6
04-01-2014,2014,1,Phillina Ober,Illinois,Office Supplies,Labels,Avery 508,12,3,4
04-01-2014,2014,1,Phillina Ober,Illinois,Office Supplies,Storage,SAFCO Boltless Steel Shelving,273,3,-65
04-01-2014,2014,1,Phillina Ober,Illinois,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,4,2,-5
05-01-2014,2014,1,Mick Brown,Pennsylvania,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",20,3,5
06-01-2014,2014,1,Lycoris Saunders,California,Office Supplies,Paper,Xerox 225,19,3,9
06-01-2014,2014,1,Jack O'Briant,Georgia,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",13,3,5
06-01-2014,2014,1,Maria Etezadi,Kentucky,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2574,9,746
06-01-2014,2014,1,Maria Etezadi,Kentucky,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,610,2,274
06-01-2014,2014,1,Maria Etezadi,Kentucky,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,5,2,1
06-01-2014,2014,1,Maria Etezadi,Kentucky,Technology,Phones,GE 30524EE4,392,2,114
06-01-2014,2014,1,Maria Etezadi,Kentucky,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,756,4,204
06-01-2014,2014,1,Maria Etezadi,Kentucky,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",31,4,0
06-01-2014,2014,1,Maria Etezadi,Kentucky,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes,7,1,3
07-01-2014,2014,1,Vivek Sundaresam,Texas,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",77,3,-54
07-01-2014,2014,1,Vivek Sundaresam,Texas,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",10,7,-18
09-01-2014,2014,1,Melanie Seite,Texas,Office Supplies,Art,Newell 312,9,2,1
09-01-2014,2014,1,Melanie Seite,Texas,Technology,Accessories,Memorex Micro Travel Drive 8 GB,31,3,10
10-01-2014,2014,1,Anthony Jacobs,Virginia,Office Supplies,Labels,Avery 482,3,1,1
10-01-2014,2014,1,Anthony Jacobs,Virginia,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",52,1,21
11-01-2014,2014,1,Seth Vernon,Delaware,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",10,2,3
13-01-2014,2014,1,Chris Selesnick,Louisiana,Office Supplies,Envelopes,Staple envelope,11,2,5
13-01-2014,2014,1,Chris Selesnick,Louisiana,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,51,3,25
13-01-2014,2014,1,Chris Selesnick,Louisiana,Technology,Accessories,Plantronics S12 Corded Telephone Headset System,647,6,259
13-01-2014,2014,1,Chris Selesnick,Louisiana,Office Supplies,Binders,3-ring staple pack,6,3,3
13-01-2014,2014,1,Chris Selesnick,Louisiana,Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,573,6,34
13-01-2014,2014,1,Natalie DeCherney,South Carolina,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,546,6,87
13-01-2014,2014,1,Brian Dahlen,California,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,1326,5,239
13-01-2014,2014,1,Brian Dahlen,California,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",334,3,4
13-01-2014,2014,1,Brian Dahlen,California,Office Supplies,Art,4009 Highlighters by Sanford,20,5,7
13-01-2014,2014,1,Michael Moore,Ohio,Office Supplies,Paper,Xerox 1923,37,7,13
13-01-2014,2014,1,Michael Moore,Ohio,Office Supplies,Binders,Avery Metallic Poly Binders,3,2,-3
14-01-2014,2014,1,Brendan Sweed,Pennsylvania,Furniture,Bookcases,Sauder Cornerstone Collection Library,62,4,-53
15-01-2014,2014,1,Erica Hackney,Georgia,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,150,5,66
16-01-2014,2014,1,Delfina Latchford,Pennsylvania,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,127,6,29
16-01-2014,2014,1,Delfina Latchford,Pennsylvania,Technology,Phones,AT&T 841000 Phone,124,3,-31
16-01-2014,2014,1,Delfina Latchford,Pennsylvania,Office Supplies,Binders,GBC Linen Binding Covers,19,2,-14
16-01-2014,2014,1,Delfina Latchford,Pennsylvania,Office Supplies,Labels,Round Specialty Laser Printer Labels,30,3,10
18-01-2014,2014,1,David Wiener,Oregon,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,65,4,6
19-01-2014,2014,1,Toby Swindell,Arizona,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",32,10,-24
19-01-2014,2014,1,Toby Swindell,Arizona,Office Supplies,Paper,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",56,4,20
19-01-2014,2014,1,Toby Swindell,Arizona,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",109,5,37
19-01-2014,2014,1,Toby Swindell,Arizona,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,181,5,-321
20-01-2014,2014,1,Hunter Lopez,Arkansas,Technology,Phones,Apple iPhone 5C,700,7,182
20-01-2014,2014,1,Hunter Lopez,Arkansas,Office Supplies,Art,Newell 351,23,7,7
20-01-2014,2014,1,Hunter Lopez,Arkansas,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",39,4,12
20-01-2014,2014,1,Hunter Lopez,Arkansas,Office Supplies,Art,Newell 327,7,3,2
20-01-2014,2014,1,Hunter Lopez,Arkansas,Office Supplies,Envelopes,Staple envelope,23,3,11
20-01-2014,2014,1,Hunter Lopez,Arkansas,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,1068,3,224
20-01-2014,2014,1,Mark Van Huff,California,Office Supplies,Paper,"Wirebound Service Call Books, 5 1/2"" x 4""",19,2,9
20-01-2014,2014,1,Mark Van Huff,California,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19,2,6
20-01-2014,2014,1,Xylona Preis,Michigan,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,14,1,4
